DTYYYYMMDD,<FIRST>,<HIGH>,<LOW>,CLOSE,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
20170508,11360,11360,11360,11360,61684800,5430,2,11406,11360
20170507,11406,11406,11406,11406,34719864,3044,2,11409,11406
20170506,11409,11409,11409,11409,163205745,14305,3,11426,11409
20170503,11426,11426,11426,11426,55141876,4826,3,11386,11426
20170502,11386,11386,11386,11386,103646758,9103,3,11324,11386
20170501,11324,11324,11324,11324,220025320,19430,4,11405,11324
20170430,11400,11450,11360,11405,18361940,1610,5,11487,11450
20170429,11486,11490,11486,11487,36758000,3200,2,11408,11490
20170426,11490,11490,11405,11408,42494675,3725,2,11455,11405
20170424,11450,11460,11450,11455,25202000,2200,3,11450,11460
20170423,11550,11550,11338,11450,29862180,2608,4,11395,11338
20170422,11327,11480,11327,11395,597257428,52412,9,11500,11390
20170417,11500,11500,11500,11500,2185000,190,1,11354,11500
20170416,11354,11354,11354,11354,44235184,3896,4,11356,11354
20170412,11356,11356,11356,11356,68136,6,1,11444,11356
20170409,11370,11555,11370,11444,30132850,2633,5,11321,11555
20170408,11321,11321,11321,11321,158550605,14005,5,11342,11321
20170405,11354,11354,11327,11342,610202600,53800,13,11332,11327
20170404,11332,11332,11332,11332,18199192,1606,4,11407,11332
20170403,11500,11500,11393,11407,174777546,15322,7,11401,11393
20170329,11401,11401,11374,11401,286389880,25120,11,11358,11374
20170328,11358,11358,11358,11358,22716000,2000,1,11335,11358
20170327,11335,11335,11335,11335,3400500,300,1,10904,11335
20170312,10904,10904,10904,10904,27260000,2500,1,11050,10904
20170311,11290,11290,10829,11050,10081144300,912300,40,10914,10829
20170308,10914,10914,10914,10914,16371000,1500,1,11021,10914
20170307,11021,11021,11021,11021,33063000,3000,2,10983,11021
20170306,10983,10983,10983,10983,66447150,6050,2,11071,10983
20170304,11071,11071,11071,11071,16075092,1452,2,11047,11071
20170301,11047,11047,11047,11047,17089709,1547,22,11087,11047
20170226,11087,11087,11087,11087,177114825,15975,4,11079,11087
20170225,11100,11100,11075,11079,35950875,3245,4,11117,11075
20170222,11118,11118,11117,11117,33351100,3000,2,10969,11117
20170219,10969,10969,10969,10969,55382481,5049,2,10964,10969
20170218,11000,11050,10960,10964,103068600,9401,6,11000,10960
20170215,11000,11000,11000,11000,3300000,300,1,10920,11000
20170214,10920,10920,10920,10920,3658200,335,2,10912,10920
20170212,10912,10912,10912,10912,56742400,5200,2,10930,10912
20170211,10930,10930,10930,10930,43720000,4000,1,10978,10930
20170208,10979,10979,10978,10978,16467191,1500,2,10938,10978
20170207,10939,10939,10938,10938,10938183,1000,2,10937,10938
20170206,10937,10937,10937,10937,1640550,150,1,10941,10937
20170205,10941,10941,10941,10941,29004591,2651,2,10995,10941
20170204,10995,10995,10995,10995,10995000,1000,2,11097,10995
20170201,11097,11097,11097,11097,1109700,100,1,11053,11097
20170131,11053,11053,11053,11053,221060000,20000,2,11070,11053
20170130,11070,11070,11070,11070,1107000,100,1,11096,11070
20170128,11150,11150,11092,11096,17753273,1600,3,11128,11092
20170125,11128,11128,11128,11128,128595168,11556,4,11373,11128
20170124,11373,11373,11373,11373,61414200,5400,3,11369,11373
20170123,11369,11369,11369,11369,15916600,1400,1,11342,11369
20170122,11350,11350,11342,11342,113421416,10000,2,11499,11342
20170121,11499,11499,11499,11499,5749500,500,2,11460,11499
20170118,11460,11460,11460,11460,140958000,12300,7,11340,11460
20170117,11340,11340,11340,11340,30277800,2670,5,11333,11340
20170116,11333,11333,11333,11333,129740184,11448,3,11317,11333
20170115,11317,11317,11317,11317,32819300,2900,2,11305,11317
20170111,11305,11305,11305,11305,95674215,8463,2,11304,11305
20170109,11304,11304,11304,11304,67643136,5984,4,11294,11304
20170108,11294,11294,11294,11294,8786732,778,3,11300,11294
20170107,11300,11300,11300,11300,22600000,2000,1,11307,11300
20170104,11307,11307,11307,11307,36352005,3215,5,11341,11307
20170103,11341,11341,11341,11341,28602002,2522,2,11350,11341
20170101,11359,11359,11280,11350,14664745,1292,4,11387,11280
20161231,11387,11387,11387,11387,151560970,13310,3,11398,11387
20161227,11400,11400,11397,11398,291088200,25538,7,11400,11397
20161226,11396,11450,11396,11400,174383222,15297,4,11379,11450
20161225,11379,11379,11379,11379,34137000,3000,2,11364,11379
20161224,11380,11390,11361,11364,394326500,34700,8,11401,11361
20161219,11403,11403,11376,11401,695522880,61005,8,11382,11376
20161218,11382,11382,11382,11382,113820000,10000,1,11392,11382
20161214,11400,11400,11360,11392,174107851,15283,5,11422,11360
20161213,11422,11422,11422,11422,47938134,4197,5,11400,11422
20161212,11400,11400,11400,11400,196080000,17200,2,11440,11400
20161210,11440,11440,11440,11440,251108000,21950,5,11414,11440
20161207,11421,11421,11412,11414,11414418,1000,3,11498,11412
20161206,11593,11593,11480,11498,22190300,1930,2,11491,11480
20161205,11400,11500,11400,11491,1176699760,102398,11,11451,11500
20161204,11405,11470,11405,11451,669912869,58501,8,11408,11470
20161203,11411,11411,11406,11408,12891215,1130,5,11411,11406
20161129,11411,11411,11411,11411,11411000,1000,1,11378,11411
20161127,11390,11390,11376,11378,69963414,6149,4,11385,11376
20161126,11376,11400,11349,11385,481495788,42292,7,11367,11349
20161123,11368,11368,11367,11367,61450255,5406,4,11374,11367
20161122,11373,11480,11373,11374,149536560,13147,2,11477,11480
20161121,11387,11480,11387,11477,2084169000,181600,7,11331,11480
20161119,11361,11361,11330,11331,47580839,4199,3,11343,11330
20161116,11342,11384,11342,11343,141785920,12500,8,11288,11342
20161115,11288,11288,11288,11288,22519560,1995,2,11344,11288
20161114,11344,11344,11344,11344,10005408,882,1,11270,11344
20161113,11268,11280,11268,11270,77940828,6916,7,11215,11280
20161112,11215,11290,11215,11215,229011800,20420,3,11251,11290
20161109,11398,11398,11070,11251,11195225,995,3,11388,11070
20161108,11388,11388,11388,11388,18926856,1662,3,11380,11388
20161107,11380,11380,11380,11380,27186820,2389,2,11338,11380
20161106,11337,11390,11337,11338,115135450,10155,2,11384,11390
20161105,11384,11384,11384,11384,91299680,8020,3,11412,11384
20161102,11412,11412,11412,11412,18202140,1595,3,11391,11412
20161101,11391,11391,11391,11391,23237640,2040,4,11450,11391
20161031,11499,11499,11443,11450,18102583,1581,2,11451,11443
20161030,11450,11499,11450,11451,191682800,16740,5,11370,11450
20161029,11370,11370,11370,11370,119271300,10490,2,11348,11370
20161026,11348,11349,11348,11348,114501410,10090,2,11290,11349
20161025,11290,11300,11287,11290,810119280,71753,18,11261,11300
20161024,11218,11270,11218,11261,116920910,10383,7,11207,11270
20161023,11207,11207,11207,11207,11207000,1000,3,11254,11207
20161022,11254,11254,11254,11254,257694092,22898,9,11202,11254
20161019,11181,11290,11181,11202,63805750,5696,6,11151,11290
20161018,11151,11151,11151,11151,33453000,3000,2,11175,11151
20161017,11184,11184,11162,11175,117787004,10540,5,11184,11162
20161016,11184,11184,11184,11184,40911072,3658,4,11166,11184
20161015,11164,11170,11164,11166,243428200,21800,7,11200,11170
20161010,11200,11200,11200,11200,1120000,100,1,11197,11200
20161009,11195,11197,11195,11197,19930136,1780,2,11182,11197
20161008,11167,11298,11167,11182,8856316,792,2,11200,11298
20161005,11200,11200,11200,11200,14873600,1328,1,11223,11200
20161004,11223,11223,11223,11223,5600277,499,1,11221,11223
20161003,11221,11221,11221,11221,55880580,4980,7,11265,11221
20161002,11285,11285,11219,11265,29942730,2658,3,11231,11219
20161001,11230,11250,11230,11231,111431460,9922,4,11234,11230
20160928,11232,11270,11231,11234,587942896,52337,13,11238,11270
20160927,11248,11248,11221,11238,550641000,49000,6,11250,11221
20160926,11250,11250,11250,11250,33750000,3000,1,11259,11250
20160925,11257,11299,11257,11259,47040146,4178,2,11239,11299
20160921,11239,11239,11238,11239,9890170,880,3,11265,11238
20160919,11265,11265,11265,11265,7378575,655,2,11227,11265
20160918,11227,11227,11227,11227,22454000,2000,2,11275,11227
20160917,11271,11300,11271,11275,12210553,1083,3,11252,11300
20160914,11252,11252,11252,11252,45030504,4002,3,11253,11252
20160910,11253,11253,11253,11253,126078612,11204,3,11256,11253
20160907,11230,11275,11230,11256,87877100,7807,5,11231,11275
20160906,11231,11231,11231,11231,8546791,761,1,11217,11231
20160905,11275,11275,11210,11217,50242090,4479,2,11199,11210
20160904,11199,11199,11199,11199,32129931,2869,5,11236,11199
20160903,11236,11236,11236,11236,302911324,26959,6,11223,11236
20160830,11216,11250,11216,11223,265640472,23670,8,11221,11250
20160829,11490,11493,11181,11221,167252827,14905,12,11226,11216
20160828,11226,11227,11226,11226,148655772,13242,9,11240,11226
20160827,11240,11240,11240,11240,31382080,2792,2,11240,11240
20160824,11240,11240,11240,11240,116896000,10400,2,11278,11240
20160823,11282,11282,11274,11278,196965698,17465,7,11294,11274
20160822,11294,11294,11294,11294,11294000,1000,1,11398,11294
20160821,11400,11400,11390,11398,6839000,600,2,11443,11390
20160820,11299,11707,11299,11443,109360594,9557,15,11232,11707
20160817,11232,11232,11232,11232,11232000,1000,1,11272,11232
20160816,11197,11280,11196,11272,171330375,15200,8,11210,11280
20160815,11210,11210,11210,11210,1289150,115,1,11229,11210
20160814,11229,11230,11229,11229,106833965,9514,8,11236,11230
20160813,11237,11237,11236,11236,38316110,3410,7,11216,11237
20160810,11212,11250,11212,11216,62262749,5551,8,11201,11250
20160809,11201,11201,11201,11201,24866220,2220,2,11284,11201
20160808,11300,11300,11226,11284,37847512,3354,8,11240,11226
20160807,11240,11240,11240,11240,5620000,500,1,11154,11240
20160806,11122,11180,11122,11154,117395375,10525,8,11101,11180
20160803,11100,11120,11091,11101,148973000,13420,12,11032,11120
20160802,10999,11062,10999,11032,196506396,17812,19,10957,11062
20160801,10957,10987,10957,10957,115971648,10584,6,10937,10957
20160731,10894,10950,10894,10937,60122318,5497,5,10855,10940
20160727,10843,10912,10843,10855,151575174,13964,9,10815,10912
20160726,10815,10816,10815,10815,241672990,22346,8,10831,10816
20160725,10819,10950,10819,10831,145159238,13402,15,10778,10819
20160724,10723,10799,10723,10778,277775202,25772,23,10709,10790
20160723,10708,10723,10708,10709,210006380,19610,7,10680,10715
20160720,10690,10690,10671,10680,213610000,20000,6,10623,10671
20160719,10635,10640,10608,10623,234342872,22059,13,10613,10608
20160718,10612,10630,10612,10613,15230020,1435,4,10604,10630
20160717,10645,10645,10587,10604,151106350,14250,3,10593,10587
20160716,10600,10600,10550,10593,647494850,61127,7,10559,10600
20160713,10564,10564,10537,10559,126714000,12000,5,10577,10537
20160712,10591,10591,10564,10577,222114000,21000,4,10552,10564
20160711,10552,10552,10552,10552,75436248,7149,2,10552,10552
20160710,10580,10580,10545,10552,136659580,12951,7,10607,10545
20160709,10612,10612,10585,10607,128348500,12100,9,10595,10585
20160704,10577,10630,10550,10595,298707860,28194,16,10543,10630
20160703,10536,10550,10536,10543,210860000,20000,8,10590,10536
20160702,10590,10590,10590,10590,105900000,10000,3,10639,10590
20160629,10639,10639,10639,10639,36172600,3400,8,10656,10639
20160628,10632,10666,10632,10656,604877538,56763,13,10586,10660
20160626,10600,10600,10570,10586,212777000,20100,8,10616,10570
20160625,10499,10632,10499,10616,298323378,28100,13,10550,10632
20160622,10543,10600,10512,10550,1455362765,137955,23,10420,10575
20160621,10390,10520,10377,10420,577537160,55426,21,10364,10520
20160620,10360,10379,10345,10364,467504970,45109,17,10351,10370
20160619,10385,10385,10306,10351,565814124,54664,10,10399,10345
20160618,10371,10406,10371,10399,127913300,12300,5,10349,10406
20160615,10364,10364,10312,10349,220838755,21340,7,10505,10312
