DTYYYYMMDD,<FIRST>,<HIGH>,<LOW>,CLOSE,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
20190407,16950,17127,16323,16880,7795587375,461829,300,16942,16770
20190406,16660,17100,16502,16942,18641986859,1100344,506,16321,16930
20190331,16770,16770,15911,16321,4240499255,259826,114,16682,16047
20190330,16300,16920,15801,16682,6216130242,372626,133,16115,16690
20190327,16400,16400,15801,16115,10842060450,672801,231,16592,16140
20190326,17348,17348,16090,16592,2702274283,162863,164,16527,16400
20190325,16000,16536,16000,16527,9268862922,560842,193,15749,16525
20190319,15290,15788,15290,15749,9964201821,632670,118,15037,15788
20190318,14651,15200,14600,15037,5626270143,374152,119,14761,15190
20190317,14991,15149,14400,14761,9021805232,611172,217,14925,14821
20190316,14630,15289,14500,14925,8338388248,558696,206,15006,14500
20190313,14420,15160,14420,15006,12429655957,828319,322,14439,14980
20190312,14402,14899,14330,14439,12531830920,867927,246,14612,14675
20190311,14290,14999,14290,14612,5059255685,346247,170,14694,14500
20190310,14799,14799,14250,14694,3459278339,235419,87,14362,14700
20190309,14699,14850,14251,14362,1029137753,71908,45,14409,14251
20190306,14405,14940,14251,14409,2440898344,169405,101,14834,14300
20190305,14970,14970,14532,14834,162361104,11098,21,14850,14837
20190304,15000,15000,14505,14850,5532080042,372541,119,14745,14650
20190303,14903,15290,14421,14745,4904701495,332624,165,14915,15050
20190302,15000,15000,14702,14915,484619470,32779,41,14951,14880
20190227,15099,15100,14751,14951,3169928692,212019,90,14582,14855
20190226,14629,15180,14109,14582,3497539356,239856,88,14822,14800
20190225,15064,15600,14621,14822,17173836367,1158670,268,15390,14630
20190224,15799,15799,15100,15390,2016209277,131157,74,15509,15437
20190223,15850,15851,15002,15509,2876236066,185450,100,15691,15490
20190220,16060,16229,15040,15691,5354854443,341264,148,15741,15699
20190219,16111,16477,15726,15741,19508994038,1239367,187,16553,15726
20190218,16745,16745,16101,16553,771445390,46817,53,16587,16103
20190217,16770,17000,16161,16587,1738065612,103853,103,16251,16490
20190216,16185,16844,16020,16251,2363828609,145565,139,16636,16020
20190213,16101,16845,16000,16636,2302901118,138513,58,16764,16400
20190212,17049,17049,16250,16764,885229446,53724,45,16924,16380
20190210,17070,17226,16500,16924,1665571155,99465,91,17277,17000
20190206,17350,17450,17071,17277,3642306313,210819,51,17322,17240
20190205,16667,17599,16666,17322,16525891543,954049,201,16871,17490
20190204,16311,17199,16300,16871,4988431151,295683,74,16762,16841
20190203,17390,17390,16402,16762,1750352552,104638,58,16840,16790
20190202,17600,17600,16500,16840,3041780299,180631,66,17119,16999
20190130,17700,17700,16751,17119,4795155444,280105,94,17552,17000
20190129,18700,18700,17080,17552,9333969927,531797,169,17922,17400
20190128,17990,18300,17301,17922,12061082585,672993,185,17487,17908
20190127,16920,17606,16433,17487,23906899599,1367100,261,16768,17606
20190126,16744,17000,16159,16768,8210520356,489644,150,16494,16920
20190123,16800,16900,16202,16494,1709181318,103479,87,16441,16620
20190122,16530,16990,16110,16441,9373861034,570158,209,16531,16759
20190121,16332,17100,16300,16531,7678396407,464488,161,16948,16499
20190120,16795,17170,16401,16948,7231856730,426716,151,16795,16900
20190119,17289,17289,16600,16795,3817852919,227324,131,17098,16650
20190116,17465,17465,16850,17098,4542502580,265679,150,16848,16850
20190115,16088,17038,16088,16848,8989297223,533540,202,16227,17038
20190114,16000,16499,16000,16227,6036766212,372028,172,16252,16175
20190113,16750,16750,16000,16252,3748256366,230635,165,16418,16235
20190112,16899,16950,16104,16418,10162836908,619014,202,16951,16340
20190109,17320,17320,16352,16951,6420080449,378752,189,17163,16950
20190108,17078,17390,16727,17163,9699445994,565124,242,16634,17097
20190107,16199,16727,16100,16634,29509301751,1774063,236,15931,16727
20190106,16180,16180,15708,15931,15734888593,987683,282,16102,16040
20190105,16102,16345,15855,16102,10129878021,629117,211,16139,16100
20190102,16500,16980,15835,16139,23235614571,1439709,499,16356,15850
20190101,16000,16457,15800,16356,24373283936,1490204,467,15674,16457
20181231,15566,15730,15051,15674,40368791780,2575508,590,14981,15730
20181230,14700,15023,14300,14981,89163196662,5951838,640,14308,15023
20181229,14980,14980,14233,14308,20098639915,1404681,409,14982,14500
20181226,14853,15037,14444,14982,45505551066,3037437,446,14321,14583
20181225,14300,14775,13800,14321,32951073761,2300898,756,14076,14775
20181224,14076,14076,14076,14076,59796945324,4248149,431,13406,14076
20181223,13295,13410,12882,13406,23936061894,1785453,176,12772,13410
20181222,12150,12871,12112,12772,13731043610,1075127,253,12259,12871
20181219,12537,12537,12111,12259,5870767549,478903,175,12311,12399
20181218,12349,12540,12002,12311,17343010163,1408737,339,11943,12358
20181217,11695,12003,11555,11943,15561342642,1302991,410,11432,12000
20181216,10801,11650,10800,11432,5867636544,513269,196,11150,11600
20181215,11200,11300,10901,11150,2354755857,211198,73,11003,11200
20181212,11000,11238,10881,11003,3739124300,339820,74,11056,11200
20181211,11226,11226,10802,11056,992174754,89498,53,11012,11000
20181210,10899,11200,10800,11012,2615443028,237512,100,11143,11199
20181209,11051,11350,11001,11143,1222222845,110449,51,11358,11240
20181208,11500,11500,11253,11358,821948600,71647,28,11253,11499
20181205,11101,11400,10880,11253,4086630049,363170,56,11073,11400
20181204,11500,11500,10880,11073,1535839135,139080,97,11451,11388
20181203,11472,11600,11112,11451,2158464946,188490,68,11125,11305
20181202,10930,11400,10782,11125,3663620783,329314,93,10926,11395
20181201,11493,11493,10919,10926,5084856300,465371,133,11493,10919
20181128,11500,11670,11300,11493,9649837864,839607,177,11279,11500
20181127,11165,11690,11150,11279,7912484647,701521,162,11165,11500
20181126,11201,11500,11156,11165,4471758336,400533,92,11743,11500
20181124,11550,11570,11355,11743,489354326,42636,43,11849,11470
20181121,12479,12479,11533,11849,999042926,85894,43,12140,11970
